sample_id,sample,batch,condition,barcode,bam_path,genome,max_reads_per_alignment_chunk,sex
HG08434_WB,HG08434,2026-01-15_uw,WB,bc2077,s3://human-pangenomics/submissions/466C0730-D59F-4438-9A02-3A5F06B6C2A0--UW_HPRC_HiFi_Year7_Blood/HG08434/*.hifi_reads.bc2077.bam,CHM13,,FEMALE
HG08435_WB,HG08435,2026-01-15_uw,WB,bc2078,s3://human-pangenomics/submissions/466C0730-D59F-4438-9A02-3A5F06B6C2A0--UW_HPRC_HiFi_Year7_Blood/HG08435/*.hifi_reads.bc2078.bam,CHM13,,FEMALE
HG08436_WB,HG08436,2026-01-15_uw,WB,bc2079,s3://human-pangenomics/submissions/466C0730-D59F-4438-9A02-3A5F06B6C2A0--UW_HPRC_HiFi_Year7_Blood/HG08436/*.hifi_reads.bc2079.bam,CHM13,,MALE
HG08441_WB,HG08441,2026-01-15_uw,WB,bc2080,s3://human-pangenomics/submissions/466C0730-D59F-4438-9A02-3A5F06B6C2A0--UW_HPRC_HiFi_Year7_Blood/HG08441/*.hifi_reads.bc2080.bam,CHM13,,FEMALE
HG08443_WB,HG08443,2026-01-15_uw,WB,bc2037,s3://human-pangenomics/submissions/466C0730-D59F-4438-9A02-3A5F06B6C2A0--UW_HPRC_HiFi_Year7_Blood/HG08443/*.hifi_reads.bc2037.bam,CHM13,,MALE
HG08444_WB,HG08444,2026-02-24_wustl,WB,bc2004,s3://human-pangenomics/submissions/a4712276-4cbc-42d3-9d2d-76e9fe5258a6--WUSTL_HPRC_HiFi_Year7_Blood/HG08444/PacBio_HiFi/*.hifi_reads.bc2004.bam,CHM13,,MALE
HG08446_WB,HG08446,2026-02-24_wustl,WB,bc2005,s3://human-pangenomics/submissions/a4712276-4cbc-42d3-9d2d-76e9fe5258a6--WUSTL_HPRC_HiFi_Year7_Blood/HG08446/PacBio_HiFi/*.hifi_reads.bc2005.bam,CHM13,,FEMALE
HG08449_WB,HG08449,2026-02-24_wustl,WB,bc2014,s3://human-pangenomics/submissions/a4712276-4cbc-42d3-9d2d-76e9fe5258a6--WUSTL_HPRC_HiFi_Year7_Blood/HG08449/PacBio_HiFi/*.hifi_reads.bc2014.bam,CHM13,,FEMALE
HG08463_WB,HG08463,2026-02-24_wustl,WB,bc2015,s3://human-pangenomics/submissions/a4712276-4cbc-42d3-9d2d-76e9fe5258a6--WUSTL_HPRC_HiFi_Year7_Blood/HG08449/PacBio_HiFi/*.hifi_reads.bc2015.bam,CHM13,,MALE
HG08464_WB,HG08464,2026-02-24_wustl,WB,bc2016,s3://human-pangenomics/submissions/a4712276-4cbc-42d3-9d2d-76e9fe5258a6--WUSTL_HPRC_HiFi_Year7_Blood/HG08449/PacBio_HiFi/*.hifi_reads.bc2016.bam,CHM13,,MALE
HG08444_LCL,HG08444,2026-03-16_wustl_pacbio_hifi_lcl,LCL,bc2060,s3://human-pangenomics/submissions/a6dbdf5c-14f6-4df9-a9fe-b78181b7f6f2--WUSTL_HPRC_HiFi_Year7_LCL_FiberSeq/HG08444/PacBio_HiFi/*.hifi_reads.bc2060.bam,CHM13,,MALE
HG08446_LCL,HG08446,2026-03-16_wustl_pacbio_hifi_lcl,LCL,bc2061,s3://human-pangenomics/submissions/a6dbdf5c-14f6-4df9-a9fe-b78181b7f6f2--WUSTL_HPRC_HiFi_Year7_LCL_FiberSeq/HG08444/PacBio_HiFi/*.hifi_reads.bc2061.bam,CHM13,,FEMALE
HG08449_LCL,HG08449,2026-03-16_wustl_pacbio_hifi_lcl,LCL,bc2062,s3://human-pangenomics/submissions/a6dbdf5c-14f6-4df9-a9fe-b78181b7f6f2--WUSTL_HPRC_HiFi_Year7_LCL_FiberSeq/HG08444/PacBio_HiFi/*.hifi_reads.bc2062.bam,CHM13,,FEMALE
HG08464_LCL,HG08464,2026-03-16_wustl_pacbio_hifi_lcl,LCL,bc2064,s3://human-pangenomics/submissions/a6dbdf5c-14f6-4df9-a9fe-b78181b7f6f2--WUSTL_HPRC_HiFi_Year7_LCL_FiberSeq/HG08444/PacBio_HiFi/*.hifi_reads.bc2064.bam,CHM13,,MALE
HG08463_LCL,HG08463,2026-03-16_wustl_pacbio_hifi_lcl,LCL,bc2063,s3://human-pangenomics/submissions/a6dbdf5c-14f6-4df9-a9fe-b78181b7f6f2--WUSTL_HPRC_HiFi_Year7_LCL_FiberSeq/HG08444/PacBio_HiFi/*.hifi_reads.bc2063.bam,CHM13,,MALE
HG08434_LCL,HG08434,2026-03-16_uw-pacbio-hifi-lcl,LCL,bc2049,s3://human-pangenomics/submissions/e2586c0d-0862-4137-8d5b-514238eb2917--UW_HPRC_HiFi_Y7/PG08434/*.hifi_reads.bc2049.bam,CHM13,,FEMALE
HG08435_LCL,HG08435,2026-03-16_uw-pacbio-hifi-lcl,LCL,bc2050,s3://human-pangenomics/submissions/e2586c0d-0862-4137-8d5b-514238eb2917--UW_HPRC_HiFi_Y7/PG08434/*.hifi_reads.bc2050.bam,CHM13,,FEMALE
